review,label
ladi gentlemen bewar mainli ladi crook dirti crook tri charg $1600 brand new power steer pump know desper told found use market part everyth plu labor would come around $950 sound good know sh*t car henc crook could sens boyfriend felt someth wrong price ask call mazda dealership googl part googl exact part onlin $356 mazda dealership said part brand new warranti $750 archi would lie phone tell part brand new dealership 2x that wrong man your crook honesti fair crook vocabulari georg archi appear nice knowledg let fool guy pushi relentless shop thirsti hard earn penni wolv sheep cloth auto shop prey women saliv femal walk door see $$$ sign sad world sorri peopl ps later even receiv text one crook apolog situat state spoke supervisor would fix power steer pump $500 door part labor interest first price quot 3x amount psh save bird shadi busi yall check gut check sourc resort hooligan,negative
custom servic guy georg amaz impress price recommend place 100% femal think easi target rip place realli care bmw 650i back road oil leak shake im back road safe thank aa auto team,positive
locat one best servic seen treat great respect expect pay $9000 full syn oil came find sale $4999 amaz thank aa auto,positive
took car oil chang let know car servic place els poor job ran full servic station year ago brag would check car see need anyth els said need fuel injector clean 120000 mile maintenc injector clean 9 month ago car 101500 mile need item done anytim soon knew need windsheild wiper never mention power steer pump also slow leak need add fluid everi 5 6 month mention either leak seen right besid cap fill oil dont know miss tell wawa leak also oil chang coupon mention includ free tire rotat car need also mention top fluid car need power steer fluid dothey advertis say wil go back sure let everyon look car repair stay away surprisingli oil chang dont know filter hope put correct oil type car found oil radiat resevior cap idea sinc oil fill cap opposit side engin compart also found one red shop rag hood mileag indic also reset irrit also sinc use keep track mile fillup reason mess trunk also unlock make wonder look someth mayb didnt know engin bmw stay away place peac mind thing say good friendli hope peopl give rave review doubl check work guy,negative
one best servic ive ever receiv good price employe realli help clearli explain issu mustang id recommend anyon look fast reliabl care servic,positive
prior visit sun auto servic call sever auto repair shop quot work done quot rang high $495 sun auto servic came $170 work fix problem store manag we russel know provid good servic custom real credit store frill profession servic honest price good coffe tv read materi walk next door trader joe snack,positive
friendli knowledg mechan work help went way make satisfi custom great work car thank,positive
pushi point mechan wouldnt listen told extra crap want addit oil chang end accept didnt want spend time argu guy never return ive jiffi lube reput place edit also would stop call talk review post avoid place,negative
make sure get copi paperwork get everyth write tell washington locat differ honor warranti district manag return phone call account could give neg rest would thank fadi respons continu use washington locat seriou problem tri reach area manag either given wrong number never receiv respons loyal custom 6+ year lost busi recommend,negative
bring truck request tune hook diagnost read misfir cylind 1 manag thoma look hood tell spider injector go bad he even go sell tune itll good place charg $800-$900 repair hell $700 next day go explain dont $700 urgent issu seem friendli will help naiv cut deal bring part hell replac $100 cost $450 bring truck pick drive home becam much wors call say bring inspect truck claim defect part say charg extra labor doesnt next day pick truck tell somehow allow fuel cross oil need immedi oil chang mind chang oil less two week prior way home yet truck start problem prompt take get anoth oil chang still improv vehicl take upon watch tube video tune guess $98 dollar 2 hour later know littl vehicl fix truck ask guy first place run like new stay away shop seem friendli clearli that case reach corpor whoever els need,negative
take car oil chang smog check prepar tri pressur repair cost least hundr buck spent 10 minut tri tell us need chang transmiss fluid right away among thing smell burnt guess guy dealer replac transmiss 1 month ago part recal nice tri though took littl longer thought would oil chang overal probabl last time go,negative
wow pleasur experiencecom california need good mechan stop purrfect auto coupl thing done hyundai cant say enough manag toma treat one trustworthi nicest manag auto repair facil brother rj ron great well need great auto shop treat like famili purrfect auto washington street place go,positive
receiv insincer call toma tell boss upset review need offer 100 dollar credit would never ever risk take car back shop tone voic word chose still made like mad im sorri got troubl job right bought take car,negative
thorough servic head mechan let us know need fix awesom person will work come back saturday rest work need done purrfect auto servic exactli say final found mechan work car husband trust thank,positive
excel custom servic stay open late $10 smog check check tire pressur appreci guy,positive
first time went smog check coupon summerlin flyer ladi front desk profession mauric manag smog test wrote thing need futur also fix husband bmw hose definit back fix thing great women come assur taken care taken advantag thank mauric ps hard find look kmart left garden center use,positive
place rotat tire next time oil chang tire rotat said could rotat tire broken stud 2 wheel guess broke last time prove also said need new front brake strut around decid take car dealership fix stud need front brake job strut dealership might expens also dont wait around 4 hour drive home worth price go dealership,negative
purrfect auto top line honest mechan manag truth even told work need done establish tri sucker money useless work ive come never issu one day came oil chang lunch hour work uniform extrem busi go come back anoth day manag saw uniform new limit amount time went ahead expedit oil chang right away record time top notch custom servic great staff great mechan great busi,positive
great place check problem car drove california nevada social visit hit tire piec highway car start start make nois undercarriag check remov plastic strip within five minut much ask charg whoa great guy gal give 5-star servic even though never mauric profession courteou would go need auto servic,positive
diagnos fix problem car coupl hundr buck could easili cost way save wife $300 work didnt need done dealership told,positive
go repair result bring suv back 3 time end caus permeat damag engin rod bang know damag car year headach court everi thing els save self hassl go cost,negative
age-old tale girl walk mechan shop look get oil chang goe across street yoga come back met mechan goe laundri list suggest replac transmiss flushesblah blah ill stick oil chang consid rest near futur girl leav get summerlin parkway within mile engin sound like locomot start steam girl pull side road call mechan shop get guy come rescu follow shop ill take look diagnosi crack radiat funni radiat wasnt crack girl arriv oil chang crack radiat isnt someth get - justslip cracksno pun girl call father also mechan candid eloqu speech ill tell happen say fat mechan lean overweight belli plastic radiat crack clank tool your girl doesnt know anyth car repair fill radiat water crack lid get hell new repair shop,negative
worst ever experi mechan take car purrfect auto damag car con let fix need oil chang tune convinc hubbi protest threw tantrun need charg a/c crap engin might freez a/c fine guess a/c hasnt work sinc touch must psychic put mojo engin inde freez voila abra cadabra imagin much fun drive thousand mile w/o a/c problem continu evolv finess thi violat $400 ive pay someon fix screw compressor cost anoth $700-$900 joy told didnt need tune claim chang oil fill fluid got road midst cross countri road trip discov didnt even right took part car wouldnt oper correctli tri sell part fix angri must finish later,negative
get extrem anxieti come type work check up car list errand run day decid spot get emiss test complet first show shortli 8 alreadi car line 2 lane open lane shorter car 2000 guess pass lol whole visit 15 minut total complet painless ladi help polit love locat grate close,positive
manag miguel mikenot sure dick need shave look unprofession kept think hot shit boast bitch lame staff awesom waiver guy realli help inspector nice fast accommod thank state arizona,negative
arriv car awesom ye car pass emiss employe friendli guess make laugh invit come back hang - dont lemonad wait -,positive
differ experi time ran work forgot wallet 50 short glove box chang tough luck come next night supervisor guy time tell car fail need bunch work done ask ga cap lexu 30k although 2005 took shop chang ga cap reset error code went back test supervisor stop come test ask took shop suspici test happi pass kept tri like pull someth begrudgingli hand pass certif,negative
could ask better experi 5 minut $17 place teach dmv custom servic,positive
would make emiss test station lose star would took forev cost expect littl beaten path locat mile away work abl get morn went right would recommend use websit see wait time plan accordingli,positive
wait time monday afternoon 345pm 10min peopl friendli help enough locat go would recommend locat,positive
easi ineasi folk friendli made emiss process hassl free plu ad bonu know place close work im gonna recommend state folk reloc bring car lunch break,positive
ha place joke thousand car taken emiss one washington trash compar rest dont come moron barley find obd link plug obd express lane back 12-15 car singl car time place 2 car express lane,negative
came thought need emiss test regist car az manag extrem nice inform answer question long stori short didnt need get emiss test,positive
show 335p monday w/2 car ahead & includ testing- way 9 min later technician friendli effici & even took time answer coupl question someth nobodi like painless inconveni part whole thing traffic way ps- think stupid az 2009 vehicl w/28k mile need test everi 2yr $20 pop that emiss center fault,positive
employe nice process doesnt take long horrif wait time ad bonu fail peopl offic help,negative
donna insid lobbi help sweetest genuin person ive ever work facil like explain everyth clear way will help use free test first emiss failur glad came across,positive
strang painless check wait time onlin see your store list wait time 14 minut think realli wait 8 minut employe friendli fast efficient- cant easi got hard job all- nice surpris test quick nice servic well done,positive
first time visit facil went around 4pm thursday afternoon 1 lane open lane 2 exact 4 car front minut arriv open lane 1 & 3 got lucki point lane 1 fifth car lane 2 first car get lane 1 took 10 minut get everyth settl site wish would open 3 lane begin peopl wouldnt wait line long cost emiss $2775 2 year believ tucson resid get charg less check adeq site go find long wait,negative
less 15 minut wasnt half hassl imagin first time cost $27 chang regular vehicl there websit show up-to-d wait time emiss test station valley pretti cool,positive
let face want go emiss test center wait line add task renew car registr want deal dmv oh cours ala visit emiss test center az someth us folk 5+year old car must everi coupl year take particular station quick dirti review help figur thing #1 check websit see wait time #2 read sign post bay instinct decid take shorter line sometim longer line goe faster car younger 10 year old read sign first #3 prepar get car pull bay need get car hook devic read car comput prepar card readi #4 dont wait last minut go expir date like 17th month 10th kick review #3 station 16th street handl bigger crowd effici let face want get heck outta effici much import staff still friendli oper fast precis know,negative
emiss test station standard pretti low wait appropri given line would given 5 star line vehicl didnt need exhaust hook get test vehicl comput test like mine,positive
normal like give good rate anyth associ dmv definit except new tool current wait time emiss locat make go schedul time much easier abl run lunch break less 10 minut current wait time left job 2 minut long wait get test done yay someth done correctli organ manner dmv,positive
hesit critic anb want alert consum use go lo olivo hand car wash close decid tri anb sinc also hand car wash believ tri hard good peopl howev car wash exterior took almost 2 hour lo olivo tradit got done 30 minut also first time wereveri slow unfortun imo anb need employe allow volum vehicl employe need better equip allow effici think peopl work hard enough dont need equip like lo olivo,negative
fire hand wash three year ago hadnt car hand wash sinc theyd pressur sprayer occasion never real wash found place arent fast arent expens theyr worth made one vehicl look better year wasnt easi basic wash option recommend go busi go next door harvey wineburg get beer burger car expertli wash hand wont disappoint,positive
45 star **came open avoid wait long pro reason price hand wash friendli staff got dirt car look 99% sparkli wash insid look clean follow request fraganc armor dashboarh simpl wipe con miss dri side rearview mirror also back bumper see streak water way 5 min fix price thing right miniscul,positive
seem harder harder find carwash drive-through went anb get hand wash someon clean interior sat lazi ass insid air condit wait room prefac say love hate relationship carwash never seem adequ job yet keep return dislik clean car especi arizona heat anb realli slow went morn monday cant imagin long weekend would taken awesom job exterior hand dri goe long way complaint didnt look like vacuum seat still dog hair car return perhap amount dog hair brought car overwhelmingli definit notic pay 25 buckaroo clean car take hour would expect set vacuum annoy whine subject realli wash,negative
great servic staff would highli recommend go weekday wednesday less busi day pay attent car extrem busi weekend hand wash team pay attent detail,positive
custom servic pretti non-exist 90 minut waitingi came find pull car wash bay wont pretend understand system assum one ridicul ineffici 0 sens urgenc husband fan hand wash better thing hot saturday morn wait 2 hour car wash hour wast feel free car clean actual valu time go somewher els,negative
shouldv read review slow dont use turtl wax use sloth wax rome wasnt built day car wash continent drift leav place dust holi moli lost two hour life wait extra-medium car wash owner / whole team friendli --- heard somebodi say custom head bar go shop car wash sound like idea day,negative
worst ever wait 15 hour hadnt even wash car yet ask back didnt even refund never,negative
ask checked-in wait go told 45minut 2 hour later receiv vehicl nobodi offic even get updat even ask vehicl back could leav sure even decent job id return couldv spent 2 hour home outcom,positive
sadli shop gone hill time famili bring car happi dana took initi qualiti servic great unfortun complet understaf husband daughter come within last week wait 2 hour figur outlier case ask let take car gal said 45 min 1 hour fast forward 2 hour later still wait approach car dana came respons would spend amount time local hand wash challeng accept dana ill take car tri local hand wash option funni asid 5 custom wait car like survivor island wait rescu share stori delay drop servic qualiti one car would done rest us would cheer win car owner look continu wait loser loung,negative
first time visit great second time sat 45 minut eventu pull car line said short peopl hope figur shouldnt take 2 hour basic hand wash wont come,negative
2 hour terribl job claim take long hand car wash howev complet staf point long wait manag said busi continu stand around watch instead jump help 2 employe work never go back wont around long,negative
stop quick car two hour extra $5 31inch tire big lol peep anyon long go take apolog,negative
much like place come youv got place wait horribl servic ok final outcom accept wait kill dana owner thing run far better he come back anoth day,negative
market new hand car wash must say thrill find great staff nice sit area impress quickli finish hand wash dana crew great question answer back next wash,positive
left place 2 hour wait car wash understand hour wait 100% hand wash place 2 okay 4 peopl dri polish car 1 phone text anoth move glacial pace usual one complain wait complet unaccept want tip give key could get,negative
place awesom friendli famili own oper great job car realli reason price definit go anywher els car wash told anoth custom great tint well,positive
found place go car wash street place hand wash dont worri scratch audi owner realli nice & seem care ill back,positive
excel job well worth price vip wash full detail mean good big detail great custom servic ok 30 minut,positive
say place beyond amaz got mani compliment car look awesom insid everyon nice friendli im go back soon cours let everyon know great place isi attach pictur let tell result beyond amaz seat carpet shampoo forgot mention come back vacat sand everywher pictur fair awesom car look end keep awesom job guy appreci come person picki everyth,positive
came whim read review yelp got signatur wash $1999 fantast job greet right pull car wash lot assist right away friendli face let know option dana owner came pleasant make sure take care scuff side care didnt think could remov without even ask dana use solut came right definit back spread word busi top black own busi love hear thank dana worker custom servic,positive
move phoenix 2 month ago new go hand car wash car look brand new custom servic incred,positive
one word juanita awesom role cashier manag worker-al believ custom would total agre dana famili great carwash best phoenix-hand hope stay way make sure juanita well compens role & help need person wit approxim 10-12 car come lunch hour friday half hour 45-minut period thing back esp pay juanita handl all-work area goe huge loss without doubt impact success phoenix best carwash hold dana,positive
recent bought brand new car want find good car wash take heard horror stori automat car wash mess shifter search place near hous anb first pop pull greet dana also owner genuin right away he funni excel custom servic doesnt come owner liter assist wash step cashier mani duti even though car alreadi clean insid like drove lot exterior shini perfect couldnt happier know perman place car wash move forward highli recommend especi local busi im full support thank dana wonder team,positive
locat chang ownership year conveni locat near hand car wash go decad brief paus past owner thought bikini car wash good idea werent hope new owner stay fast courteou reason price $50 special hand wax owner friendli nice job car look brand new dust storm filth,positive
love place alway pay close attent detail someth need touch dont drive away upset bring issu correct today need littl touch vacuum trunk owner came made sure perfect left cant thank enough type custom servic seem like car wash strive quantiti qualiti,positive
one amaz hand carwash place realli hard work team honestli amaz job one worker name imanuel car left realli amaz dana boss man told best guy would take care took initi give worth pay realli nice plu book recommend imanuel new comer old timer im happi come come back place,positive
purchas vip servic although pricey offer place found servic great valu work result similar detail servic offer compani servic that go quick shouldnt expect especi weekend definit come back vehicl keep great work,positive
take daili driver well old off-road fun vehicl peopl great job alway make sure everi part vehicl clean dri deliveri price fair consid machin hand wash ensur mirror get broken paint condit stay nice take 3 vehicl also employe mike phenomen job get puppi throw carpet fair up-charg busi life,positive
wow ever car wash like look old outsid staff absolut wonder care work took least 45 minut give car simpl $1699 wash thorough hard-work definit go come back place,positive
thank vinc great servic make day shop care made sure taken care made day sure shop like onei highli recommend placecaio,positive
car accid fault brought car aw walk everyth al kimberli imran kristin best ever cannot express nice help effici made entir experi less stress took worri shoulder pick car detail engin washed/polish car clean whistl extrem satisfi happi custom thank aw,positive
refer aw collis honda dealership except experi profession staff kimberli delight first time answer phone al help deal respons parti insuanc claim adjust nice person work imram except custom servic skill call keep updat progress repair phase progress detail car pick repair side look perfect paint color match exactli cant say enough make difficult situat much better experi would definietli use need highli recommend other great job everyon thank shannon summer,positive
im complet satisfi happi experi aw collis teresa h help lot custom servic except everi singl one staff friendli nice profession kept updat throughout whole process car look great cadillac srx 2014 clean car thoroughli pick took care everyth deal car insur make sure car got part need back great condit accid definit recommend aw collis theyr best recommend place everyon,positive
except custom servic amaz work refer aw collis honda dealership rear-end brand new 17 honda accord theresa wendi extrem help throughout entir experi bodi shop insur wrote estim bumper repair replac howev theresa reassur would let know extent damag remov would write supplement insur compani sure enough get brand new bumper thank theresa theresa sweetheart truli care custom tri get rental car hertz use insur given hard time said vehicl avail theresa persist call multipl locat handl rental car insur phone call accord look brand new impress work done bumper would definit return aw collis thank theresa wendi,positive
second time ive brought car cpnfirm place ill take car get repair accid rear-end men netherland budget rental car pn june 16th insur compani affili rental compani realli difficult get ahold maintain commun howev theresa excel outstand job hold insur compani account order get car fix quickli possibl pick car mpre beauti tgan ever complet detail insid - engin everyth staff friendli effici job wouldnt take car anywher els trust compani complet wholeheartedli,positive
went aw collis rear-ene 2016 cadillac wendi help teresa took care vehicl teresa great work want make sure satisfi repair even tough car back teresa still work person insur compani work repair cost associ rental car key insur insur carrier nightmar teresa attorney adam mcclauski work husband stage 4 cancer made sure unnecessari trip panic associ entir issu thank guy,positive
read mani review aw collis knew pick right place boy right honda accord rear end went parti estim tri give market part talk tom state that busi tom order origin honda part kept date repair process car repair beyond expect tom even went step detail entir car includ engin bay got car back could believ perfect repair happi outcom need car repair place go trust make correct decis thank tom guy best,positive
dian went high curb right front redland home left side front bumper 2017 cadillac xt rip slightli away even though could almost put bumper back design slot soon becam evid bumper would flare even high freeway speeds--especi windi condit show damag bumper servic tech cadillac la vega refer aw collis alert repair would probabl cost $2000 like need new front bumper quickli drove vehicl aw collis inform new bumper order would repaint cadillac bumper come basic black color three-part paint process need blend new paint car exist unusu deep amethyst metal color sound like nightmar worri exterior bumper sustain visibl damage--not even cosmet sight fasten rip physic inspect estim theresa told skill technician staff could repair exist bumper plastic solder car would look like new friendli profession ultim given reason written estim recommend repair total $500 schedul appoint servic left car 2-1/2 day pick wash care inde look like new sinc repair bumper firmli held togeth kind drive condit base experi need futur bodi work perform vehicl hesit trust repair aw collis,positive
three week buy brand new volvo someon slam rear bumper volvo la vega refer aw collis couldnt happier insur adjust came give estim didnt notic part hold bumper car broken aw collis bumper look good new repair aw handl insur detail whole process smooth tom theresa profession wouldnt hesit use aw collis,positive
got accid took car aw collis dealer certifi collis repair center got origin estim damag estim took theresa realiz extens damag even estim notic help kept contact 3 week period car shop arrang enterpris pick drop overal servic fantast highli recommend place anyon need car fix collis also detail car amaz thank help get cadillac back -jerom price,positive
someon rear-end car realli furiou found guy offer great price seem like honest peopl work car flawless love thank theresa help get car done fast possibl thank lot previou review compani recent discov mice engin origin shop ate sever differ part engin boss workshop state didnt care would rather make us pay insur even report volvo said wont recommend peopl workshop utterli rude behavior present,negative
got accid chose aw collis head theresa estim help insur claim american nation vehicl repair oem part honda aw fix vehicl perfect theresa made sure vehicl detail went beyond area buf kept updat repair made feel stress free situat recommend theresa aw collis,positive
5-11-17 updat review let leav anoth one team aw collis done passeng side mirror mini cooper need replac repaint hit construct cone took ozzi tonya went beyond new mirror cap repaint match absolut perfect look like noth aver happen thank guy much excel work great custom servic refer anybodi ever need bodi work great experi aw collis second time use servic first time 4 year ago accid volvo c30 fault lol repair flawless like noth happen custom servic commun back good decid use time around mini cooper debri freeway could avoid lot damag bumper fender bought mini portland dealership almost 3 year ago dealership lie ask prior damage/ accid said 6 month later hot dri climat paint start crack hood progress spread got wors damag mickey mous job repair figur ill get repair well car alreadi get damag repair look flawless better new custom servic everyon great explain everyth detail go repair paint crack qualiti product use get lifetim guarante well make happi confid stand work ive two separ great experi refer peopl use hope anytim soon lol brought car kinda dirti pick clean insid made super happi plan get nice car wash pick thank much guy big thumb,positive
new escalad somebodi wreck refer take aw took two month fix number excus take long even told one time insur adjust call adjust true two month get call done come pick leav work drive across town pick guess even done miss pillar damag come next day get call next day tell wait one day want perfect final go get piec garbag paint big catch nail took home weekend could inspect put blue tape piec junk run hair sag probabl 50 60 piec tape repair monday morn call ask talk manag ask meet tuesday morn 8 drive late painter come look proceed tell tape truck flaw paint proce argu say one scratch paint wash never wash final manag show bare say word take care two day fix haha crappi work buff hell new paint work glass smooth origin factori paint work usual orang peel point stand say noth kinda told use call poor work highli recommend take car exot get good job done place disast,negative
recommend honda bodi shop least honda west sinc dont bodi shop replac rear bumper cover new 2017 ridgelin paintwork involv cant speak workmanship cover excel fit perfect scratch meet metal even wash detail wasnt expect thank guy job well done,positive
aw fix car replac bumper fender chang wheel great job realli recommend place time effici work well,positive
recent caught stone storm pea gravel contact auto insur compani remain nameless protect innoc receiv name three local bodi shop review found lack contact vehicl dealership told use w collis went call shop talk tom agre come saturday morn see vehicl give insur inform tom call start process color pearli white damag hard see three feet away tom ace guy mark vehicl insur adjust view car tom reason chose aw rather kmart bodi shop insur compani want use lifetim guarante need bodi work go w collis disappoint,positive
highli recommend aw collis need anyth done car amaz great custom servic tanya wendi tom realli help never anyth done car mani peopl told bad experi theyv bodi shop amaz bumper match perfect want job done right place go also friendli new puppi cant leav home alon yet haha,positive
took car aw collis accid tom entir staff help support throughout entir process insur compani end total vehicl cannot say enough time effort aw put made sure well inform everi point process parent car repair aw know qualiti work second none hard time insur compani need honest opinion amaz servic aw first place list hope never get anoth car accid absolut question bring vehicl,positive
run place black hole automot repair car almost 4 month blame everyon els back right quarter panel easi job didnt even start 36 day went referr form dealer stop refer stay away,negative
great srvice higher recommend car accid honda accord 2016 got help a-z everyon kind car look like new one like noth happen even wash car,positive
pick 2012 cadillac ct today aw collison great job match pearl paint get insur compani pay origin qualiti part overal happi repair help car look like bought id definit recommend place friend,positive
